Date : 2023-06-08 23:58:15
Directory : c:\xampp\htdocs\Blockimino
Total : 941 files,  121644 codes, 29295 comments, 8682 blanks, all 159621 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\xampp\htdocs\Blockimino\Bloques\Serial\serial_read.js                                                           | JavaScript |         16 |          0 |          3 |         19 |
| c:\xampp\htdocs\Blockimino\Bloques\Serial\serial_write.js                                                          | JavaScript |         19 |          0 |          1 |         20 |
| c:\xampp\htdocs\Blockimino\Bloques\Setup\define.js                                                                 | JavaScript |        136 |          3 |         34 |        173 |
| c:\xampp\htdocs\Blockimino\Bloques\Setup\define_value.js                                                           | JavaScript |         16 |          0 |          3 |         19 |
| c:\xampp\htdocs\Blockimino\Bloques\Setup\include.js                                                                | JavaScript |         27 |          1 |          5 |         33 |
| c:\xampp\htdocs\Blockimino\Bloques\Setup\includeLCD.js                                                             | JavaScript |        153 |         35 |         22 |        210 |
| c:\xampp\htdocs\Blockimino\Bloques\Setup\lcd_begin.js                                                              | JavaScript |         28 |          4 |          1 |         33 |
| c:\xampp\htdocs\Blockimino\Bloques\Setup\pinMode.js                                                                | JavaScript |         48 |          0 |         11 |         59 |
| c:\xampp\htdocs\Blockimino\Bloques\Setup\serial_begin.js                                                           | JavaScript |         28 |          3 |          1 |         32 |
| c:\xampp\htdocs\Blockimino\Bloques\Teclado\Teclado_include.js                                                      | JavaScript |        154 |          9 |         20 |        183 |
| c:\xampp\htdocs\Blockimino\Bloques\Teclado\Teclado_read.js                                                         | JavaScript |         16 |          1 |          2 |         19 |
| c:\xampp\htdocs\Blockimino\Bloques\Teclado\Teclado_val.js                                                          | JavaScript |         15 |          1 |          2 |         18 |
| c:\xampp\htdocs\Blockimino\Bloques\Tiempo\delay.js                                                                 | JavaScript |         19 |          1 |          4 |         24 |
| c:\xampp\htdocs\Blockimino\Bloques\Tiempo\delayMicroseconds.js                                                     | JavaScript |         19 |          1 |          3 |         23 |
| c:\xampp\htdocs\Blockimino\Bloques\Tiempo\micros.js                                                                | JavaScript |         19 |          1 |          3 |         23 |
| c:\xampp\htdocs\Blockimino\Bloques\Tiempo\milis.js                                                                 | JavaScript |         19 |          1 |          4 |         24 |
| c:\xampp\htdocs\Blockimino\Bloques\Variables\bool.js                                                               | JavaScript |         77 |         51 |         28 |        156 |
| c:\xampp\htdocs\Blockimino\Bloques\Variables\bool_value.js                                                         | JavaScript |         16 |          0 |          2 |         18 |
| c:\xampp\htdocs\Blockimino\Bloques\Variables\char.js                                                               | JavaScript |         77 |          2 |         24 |        103 |
| c:\xampp\htdocs\Blockimino\Bloques\Variables\char_value.js                                                         | JavaScript |         24 |          1 |          4 |         29 |
| c:\xampp\htdocs\Blockimino\Bloques\Variables\double.js                                                             | JavaScript |         77 |          2 |         24 |        103 |
| c:\xampp\htdocs\Blockimino\Bloques\Variables\double_value.js                                                       | JavaScript |         16 |          0 |          3 |         19 |
| c:\xampp\htdocs\Blockimino\Bloques\Variables\float.js                                                              | JavaScript |         77 |          2 |         25 |        104 |
| c:\xampp\htdocs\Blockimino\Bloques\Variables\float_value.js                                                        | JavaScript |         16 |          0 |          3 |         19 |
| c:\xampp\htdocs\Blockimino\Bloques\Variables\int.js                                                                | JavaScript |         77 |          2 |         24 |        103 |
| c:\xampp\htdocs\Blockimino\Bloques\Variables\int_value.js                                                          | JavaScript |         16 |          0 |          2 |         18 |
| c:\xampp\htdocs\Blockimino\Bloques\Variables\long.js                                                               | JavaScript |         77 |          2 |         24 |        103 |
| c:\xampp\htdocs\Blockimino\Bloques\Variables\long_value.js                                                         | JavaScript |         16 |          0 |          3 |         19 |
| c:\xampp\htdocs\Blockimino\Bloques\Variables\short.js                                                              | JavaScript |         77 |          2 |         24 |        103 |
| c:\xampp\htdocs\Blockimino\Bloques\Variables\short_value.js                                                        | JavaScript |         16 |          0 |          4 |         20 |
| c:\xampp\htdocs\Blockimino\Bloques\Variables\string.js                                                             | JavaScript |         77 |          2 |         24 |        103 |
| c:\xampp\htdocs\Blockimino\Bloques\Variables\string_value.js                                                       | JavaScript |         17 |          0 |          3 |         20 |
| c:\xampp\htdocs\Blockimino\Bloques\Variables\variables.js                                                          | JavaScript |        645 |         90 |         97 |        832 |
| c:\xampp\htdocs\Blockimino\EasyVersion\Bloques\Analogico\analogRead.js                                             | JavaScript |         36 |          0 |          7 |         43 |
| c:\xampp\htdocs\Blockimino\EasyVersion\Bloques\Analogico\analogReference.js                                        | JavaScript |         23 |          0 |          2 |         25 |
| c:\xampp\htdocs\Blockimino\EasyVersion\Bloques\Analogico\analogWrite.js                                            | JavaScript |         80 |          0 |          7 |         87 |
| c:\xampp\htdocs\Blockimino\EasyVersion\Bloques\Digital\digitalRead.js                                              | JavaScript |         34 |          0 |         10 |         44 |
| c:\xampp\htdocs\Blockimino\EasyVersion\Bloques\Digital\digitalWrite.js                                             | JavaScript |         48 |          0 |         12 |         60 |
| c:\xampp\htdocs\Blockimino\EasyVersion\Bloques\EstructurasDeControl\arduino_case.js                                | JavaScript |         22 |         12 |          6 |         40 |
| c:\xampp\htdocs\Blockimino\EasyVersion\Bloques\EstructurasDeControl\arduino_dowhile.js                             | JavaScript |         31 |         15 |          5 |         51 |
| c:\xampp\htdocs\Blockimino\EasyVersion\Bloques\EstructurasDeControl\arduino_for.js                                 | JavaScript |         48 |         19 |          9 |         76 |
| c:\xampp\htdocs\Blockimino\EasyVersion\Bloques\EstructurasDeControl\arduino_if.js                                  | JavaScript |         30 |         16 |          6 |         52 |
| c:\xampp\htdocs\Blockimino\EasyVersion\Bloques\EstructurasDeControl\arduino_ifelse.js                              | JavaScript |         39 |         18 |          9 |         66 |
| c:\xampp\htdocs\Blockimino\EasyVersion\Bloques\EstructurasDeControl\arduino_switch.js                              | JavaScript |         30 |         13 |          4 |         47 |
| c:\xampp\htdocs\Blockimino\EasyVersion\Bloques\EstructurasDeControl\arduino_while.js                               | JavaScript |         30 |         15 |          4 |         49 |
| c:\xampp\htdocs\Blockimino\EasyVersion\Bloques\Funciones\function.js                                               | JavaScript |        137 |          5 |         35 |        177 |
| c:\xampp\htdocs\Blockimino\EasyVersion\Bloques\Funciones\group_block.js                                            | JavaScript |         13 |         10 |          3 |         26 |
| c:\xampp\htdocs\Blockimino\EasyVersion\Bloques\Funciones\interruption.js                                           | JavaScript |         48 |          2 |         11 |         61 |
| c:\xampp\htdocs\Blockimino\EasyVersion\Bloques\Funciones\simple_text.js                                            | JavaScript |         14 |          1 |          4 |         19 |
| c:\xampp\htdocs\Blockimino\EasyVersion\Bloques\LCD\lcd_autoscroll.js                                               | JavaScript |         17 |          1 |          2 |         20 |
| c:\xampp\htdocs\Blockimino\EasyVersion\Bloques\LCD\lcd_blink.js                                                    | JavaScript |         17 |          1 |          2 |         20 |
| c:\xampp\htdocs\Blockimino\EasyVersion\Bloques\LCD\lcd_clear.js                                                    | JavaScript |         17 |          1 |          2 |         20 |
| c:\xampp\htdocs\Blockimino\EasyVersion\Bloques\LCD\lcd_cursor.js                                                   | JavaScript |         17 |          1 |          2 |         20 |
| c:\xampp\htdocs\Blockimino\EasyVersion\Bloques\LCD\lcd_display.js                                                  | JavaScript |         17 |          1 |          2 |         20 |
| c:\xampp\htdocs\Blockimino\EasyVersion\Bloques\LCD\lcd_home.js                                                     | JavaScript |         17 |          1 |          2 |         20 |
| c:\xampp\htdocs\Blockimino\EasyVersion\Bloques\LCD\lcd_leftRight.js                                                | JavaScript |         17 |          1 |          2 |         20 |
| c:\xampp\htdocs\Blockimino\EasyVersion\Bloques\LCD\lcd_noAutoscroll.js                                             | JavaScript |         17 |          1 |          2 |         20 |
| c:\xampp\htdocs\Blockimino\EasyVersion\Bloques\LCD\lcd_noBlink.js                                                  | JavaScript |         17 |          1 |          2 |         20 |
| c:\xampp\htdocs\Blockimino\EasyVersion\Bloques\LCD\lcd_noCursor.js                                                 | JavaScript |         17 |          1 |          2 |         20 |
| c:\xampp\htdocs\Blockimino\EasyVersion\Bloques\LCD\lcd_noDisplay.js                                                | JavaScript |         17 |          1 |          2 |         20 |
| c:\xampp\htdocs\Blockimino\EasyVersion\Bloques\LCD\lcd_print.js                                                    | JavaScript |         19 |          1 |          2 |         22 |
| c:\xampp\htdocs\Blockimino\EasyVersion\Bloques\LCD\lcd_rightLeft.js                                                | JavaScript |         17 |          1 |          2 |         20 |
| c:\xampp\htdocs\Blockimino\EasyVersion\Bloques\LCD\lcd_scrollLeft.js                                               | JavaScript |         17 |          1 |          2 |         20 |
| c:\xampp\htdocs\Blockimino\EasyVersion\Bloques\LCD\lcd_scrollRight.js                                              | JavaScript |         17 |          1 |          2 |         20 |
| c:\xampp\htdocs\Blockimino\EasyVersion\Bloques\LCD\lcd_setCursor.js                                                | JavaScript |         24 |          5 |          2 |         31 |
| c:\xampp\htdocs\Blockimino\EasyVersion\Bloques\LCD\lcd_write.js                                                    | JavaScript |         19 |          7 |          3 |         29 |
| c:\xampp\htdocs\Blockimino\EasyVersion\Bloques\Matematicas\abs.js                                                  | JavaScript |         21 |          2 |          3 |         26 |
| c:\xampp\htdocs\Blockimino\EasyVersion\Bloques\Matematicas\constrain.js                                            | JavaScript |         31 |          2 |          3 |         36 |
| c:\xampp\htdocs\Blockimino\EasyVersion\Bloques\Matematicas\map.js                                                  | JavaScript |         41 |          2 |          3 |         46 |
| c:\xampp\htdocs\Blockimino\EasyVersion\Bloques\Matematicas\max.js                                                  | JavaScript |         26 |          2 |          3 |         31 |
| c:\xampp\htdocs\Blockimino\EasyVersion\Bloques\Matematicas\min.js                                                  | JavaScript |         26 |          2 |          3 |         31 |
| c:\xampp\htdocs\Blockimino\EasyVersion\Bloques\Matematicas\pow.js                                                  | JavaScript |         26 |          0 |          2 |         28 |
| c:\xampp\htdocs\Blockimino\EasyVersion\Bloques\Matematicas\random.js                                               | JavaScript |         26 |          2 |          2 |         30 |
| c:\xampp\htdocs\Blockimino\EasyVersion\Bloques\Matematicas\sq.js                                                   | JavaScript |         21 |          2 |          2 |         25 |
| c:\xampp\htdocs\Blockimino\EasyVersion\Bloques\Matematicas\sqrt.js                                                 | JavaScript |         21 |          2 |          2 |         25 |
| c:\xampp\htdocs\Blockimino\EasyVersion\Bloques\Operadores\arithmetic_operator.js                                   | JavaScript |         28 |          0 |          3 |         31 |
| c:\xampp\htdocs\Blockimino\EasyVersion\Bloques\Operadores\boolean_operator.js                                      | JavaScript |         39 |          0 |          4 |         43 |
| c:\xampp\htdocs\Blockimino\EasyVersion\Bloques\Operadores\comparison_operator.js                                   | JavaScript |         29 |          0 |          3 |         32 |
| c:\xampp\htdocs\Blockimino\EasyVersion\Bloques\Operadores\updater_operator.js                                      | JavaScript |         22 |          0 |          5 |         27 |
| c:\xampp\htdocs\Blockimino\EasyVersion\Bloques\Sensores\HC04_begin.js                                              | JavaScript |         26 |          6 |          7 |         39 |
| c:\xampp\htdocs\Blockimino\EasyVersion\Bloques\Sensores\HC04_dist.js                                               | JavaScript |         16 |          0 |          2 |         18 |
| c:\xampp\htdocs\Blockimino\EasyVersion\Bloques\Sensores\HC04_include.js                                            | JavaScript |         73 |          6 |         11 |         90 |
| c:\xampp\htdocs\Blockimino\EasyVersion\Bloques\Sensores\HC04_loop.js                                               | JavaScript |         25 |          2 |          7 |         34 |
| c:\xampp\htdocs\Blockimino\EasyVersion\Bloques\Sensores\LDR_include.js                                             | JavaScript |         69 |         13 |         17 |         99 |
| c:\xampp\htdocs\Blockimino\EasyVersion\Bloques\Sensores\LDR_loop.js                                                | JavaScript |         16 |          2 |          3 |         21 |
| c:\xampp\htdocs\Blockimino\EasyVersion\Bloques\Sensores\LDR_value.js                                               | JavaScript |         15 |          1 |          2 |         18 |
| c:\xampp\htdocs\Blockimino\EasyVersion\Bloques\Serial\serial_available.js                                          | JavaScript |         16 |          1 |          4 |         21 |
